,name,address,price,rating,amenities
0,SPOT ON 65593 Yatra Inn,"Lalbagh, Bangalore",₹838,(1934 Ratings),"Reception, Free Wifi, CCTV Cameras"
1,CAPITAL O 432 Hotel Victoria Heights,"Near St.Philomena's Hospital, Xavier Layout, Bangalore",₹949,(919 Ratings),"Free Wifi, TV, TV"
2,SPOT ON 41554 Hotel Sri Thirumala Paradise,"Sevashrama, Bangalore",₹1014,(2642 Ratings),"Window, Free Wifi, CCTV Cameras"
3,SPOT ON 67398 Hotel  Shree Pawan Paradise,"Near Cotton Pete Police Station, Bangalore",₹796,(476 Ratings),"TV, Reception, Free Wifi"
4,CAPITAL O75993 Hotel Shanti Nivas,"Near Yeshwanthpur , Sri Raghavendra Layout, Bangalore",₹949,(967 Ratings),"Free Wifi, Power backup, CCTV Cameras"
5,OYO Flagship 16105 Majestic,"Near Majestic Railway Station, Akkipete, Bangalore",₹849,(1218 Ratings),"Reception, Free Wifi, Power backup"
6,OYO 2318 Hotel Tiara,"Lexington Towers, 63 St.Johns Woods Apts & Oracle, Tavarekere Main Rd",₹849,(711 Ratings),"Parking Facility, Reception, Free Wifi"
7,OYO 6790 Hotel subha Residency,"Bangalore, Bangalore",₹649,(364 Ratings),"TV, Free Wifi, Geyser"
8,SPOT ON 78834 Isnas Residency ,"Near M S Ramaiah College Road , Mathikere",₹1014,(419 Ratings),"TV, Reception, Caretaker"
9,OYO 2561 Hotel Resida Service Apartments,"Near Domlur Bridge, Indiranagar, Bangalore",₹1606,(942 Ratings),"Parking Facility, Free Wifi, Power backup"
10,OYO Flagship 11640 Hotel Aaira Inn,"Near Uttam Sagar, Banaswadi main road, Bangalore",₹749,(465 Ratings),"Hair Dryer, Parking Facility, Free Wifi"
11,Collection O Supralisa,"Halasuru, Bangalore",₹899,(171 Ratings),"Elevator, Free Wifi, Power backup"
12,OYO 84078 Fortune Stay,"Bangalore, Bangalore",₹1014,(121 Ratings),"Reception, Ticket Tour Assistance, Caretaker"
13,SPOT ON 85094 National Deluxe Lodge ,"India, Bangalore",₹679,(10 Ratings),"Window, Reception, Window"
14,OYO Flagship 14397 Varcity Phi Pavilion,"Karnataka 560068, Bangalore",₹849,(1984 Ratings),"Living Room, Washing Machine, Balcony"
15,OYO Flagship 18338  White Fort,"Dispensary Rd, Kalasipalya,Bangalore",₹649,(1097 Ratings),"Parking Facility, Free Wifi, Power backup"
16,OYO 79879 Elite Stays JP Nagar,"Bommanahalli Zone, Bangalore",₹849,(972 Ratings),"Parking Facility, Elevator, Private Entrance"
17,SPOT ON 39787 Radha Krishna Deluxe Lodge,"Near Cottonpet Main Road, Bangalore",₹599,(369 Ratings),"Elevator, Window, Daily Housekeeping"
18,SPOT ON 83062 Vasavi Residency,"India, Bangalore",₹549,(64 Ratings),"Doctor on Call, Reception, Ticket Tour Assistance"
19,Capital O 37517 Withinn Hotel,"Near NIAS, Mathikere Extension, Bangalore",₹1299,(661 Ratings),"Parking Facility, Reception, Free Wifi"
20,SPOT ON 65593 Yatra Inn,"Lalbagh, Bangalore",₹838,(1934 Ratings),"Reception, Free Wifi, CCTV Cameras"
21,CAPITAL O 432 Hotel Victoria Heights,"Near St.Philomena's Hospital, Xavier Layout, Bangalore",₹949,(919 Ratings),"Free Wifi, TV, TV"
22,SPOT ON 41554 Hotel Sri Thirumala Paradise,"Sevashrama, Bangalore",₹1014,(2642 Ratings),"Window, Free Wifi, CCTV Cameras"
23,SPOT ON 67398 Hotel  Shree Pawan Paradise,"Near Cotton Pete Police Station, Bangalore",₹796,(476 Ratings),"TV, Reception, Free Wifi"
24,OYO Flagship 16105 Majestic,"Near Majestic Railway Station, Akkipete, Bangalore",₹849,(1218 Ratings),"Reception, Free Wifi, Power backup"
25,CAPITAL O75993 Hotel Shanti Nivas,"Near Yeshwanthpur , Sri Raghavendra Layout, Bangalore",₹949,(967 Ratings),"Free Wifi, Power backup, CCTV Cameras"
